ricoId,Label
rico:AccumulationRelation,Accumulation Relation
rico:Activity,Activity
rico:ActivityDocumentationRelation,Activity Documentation Relation
rico:ActivityType,Activity Type
rico:Agent,Agent
rico:AgentControlRelation,Agent Control Relation
rico:AgentHierarchicalRelation,Agent Hierarchical Relation
rico:AgentName,Agent Name
rico:AgentTemporalRelation,Agent Temporal Relation
rico:AgentToAgentRelation,Agent Relation
rico:Appellation,Appellation
rico:AppellationRelation,Appellation Relation
rico:AuthorityRelation,Authority Relation
rico:AuthorshipRelation,Authorship Relation
rico:CarrierExtent,Carrier Extent
rico:CarrierType,Carrier Type
rico:ChildRelation,Child Relation
rico:Concept,Concept
rico:ContentType,Content Type
rico:Coordinates,Coordinates
rico:CorporateBody,Corporate Body
rico:CorporateBodyType,Corporate Body Type
rico:CorrespondenceRelation,Correspondence Relation
rico:CreationRelation,Creation Relation
rico:Date,Date
rico:DateType,Date Type
rico:DemographicGroup,Demographic Group
rico:DerivationRelation,Derivation Relation
rico:DescendanceRelation,Descendance Relation
rico:DocumentaryFormType,Documentary Form Type
rico:Event,Event
rico:EventRelation,Event Relation
rico:EventType,Event Type
rico:Extent,Extent
rico:ExtentType,Extent Type
rico:Family,Family
rico:FamilyRelation,Family Relation
rico:FamilyType,Family Type
rico:FunctionalEquivalenceRelation,Functional Equivalence Relation
rico:Group,Group
rico:GroupSubdivisionRelation,Group Subdivision Relation
rico:Identifier,Identifier
rico:IdentifierType,Identifier Type
rico:Instantiation,Instantiation
rico:InstantiationExtent,Instantiation Extent
rico:InstantiationToInstantiationRelation,Instantiation to Instantiation Relation
rico:IntellectualPropertyRightsRelation,Intellectual Property Rights Relation
rico:KnowingOfRelation,Knowing Of Relation
rico:KnowingRelation,Knowing Relation
rico:Language,Language
rico:LeadershipRelation,Leadership Relation
rico:LegalStatus,Legal Status
rico:ManagementRelation,Management Relation
rico:Mandate,Mandate
rico:MandateRelation,Mandate Relation
rico:MandateType,Mandate Type
rico:Mechanism,Mechanism
rico:MembershipRelation,Membership Relation
rico:MigrationRelation,Migration Relation
rico:Name,Name
rico:OccupationType,Occupation Type
rico:OrganicOrFunctionalProvenanceRelation,Organic or functional provenance Relation
rico:OrganicProvenanceRelation,Organic Provenance Relation
rico:OwnershipRelation,Ownership Relation
rico:PerformanceRelation,Performance Relation
rico:Person,Person
rico:PhysicalLocation,Physical Location
rico:Place,Place
rico:PlaceName,Place Name
rico:PlaceRelation,Place Relation
rico:PlaceType,Place Type
rico:Position,Position
rico:PositionHoldingRelation,Position Holding Relation
rico:PositionToGroupRelation,Position to Group Relation
rico:ProductionTechniqueType,Production Technique Type
rico:Proxy,Proxy
rico:Record,Record
rico:RecordPart,Record Part
rico:RecordResource,Record Resource
rico:RecordResourceExtent,Record Resource Extent
rico:RecordResourceGeneticRelation,Record Resource Genetic Relation
rico:RecordResourceHoldingRelation,Record Resource Holding Relation
rico:RecordResourceToInstantiationRelation,Record Resource to Instantiation Relation
rico:RecordResourceToRecordResourceRelation,Record Resource to Record Resource Relation
rico:RecordSet,Record Set
rico:RecordSetType,Record Set Type
rico:RecordState,Record State
rico:Relation,Relation
rico:RepresentationType,Representation Type
rico:RoleType,Role Type
rico:Rule,Rule
rico:RuleRelation,Rule Relation
rico:RuleType,Rule Type
rico:SequentialRelation,Sequential Relation
rico:SiblingRelation,Sibling Relation
rico:SpouseRelation,Spouse Relation
rico:StudyAtRelation,Study At Relation
rico:TeachingRelation,Teaching Relation
rico:TemporalRelation,Temporal Relation
rico:Thing,Thing
rico:Title,Title
rico:TitleType,Title Type
rico:Type,Type
rico:TypeRelation,Type Relation
rico:UnitOfMeasurement,Unit Of Measurement
rico:WholePartRelation,Whole Part Relation
rico:WorkRelation,Work Relation
rico:accruals,Accruals
rico:accrualsStatus,Accruals status
rico:accumulationDate,Accumulation date
rico:allMembersWithAccumulationDate,All members with accumulation date
rico:allMembersWithCreationDate,All members with creation date
rico:altimetricSystem,Altimetric system
rico:altitude,Altitude
rico:authenticityNote,Authenticity note
rico:authorizingMandate,Authorizing mandate
rico:beginningDate,Beginning date
rico:birthDate,Birth date
rico:carrierExtent,Carrier extent
rico:classification,Classification
rico:conditionsOfAccess,Conditions of access
rico:conditionsOfUse,Conditions of use
rico:creationDate,Creation date
rico:date,Date
rico:dateQualifier,Date qualifier
rico:deathDate,Death date
rico:derivationDate,Derivation date
rico:destructionDate,Destruction date
rico:endDate,End date
rico:expressedDate,Expressed date
rico:generalDescription,Description
rico:geodesicSystem,Geodesic system
rico:geographicalCoordinates,Geographical coordinates
rico:height,Height
rico:history,History
rico:identifier,Identifier
rico:instantiationExtent,Instantiation extent
rico:instantiationStructure,Instantiation structure
rico:integrityNote,Integrity note
rico:lastModificationDate,Last modification date
rico:latitude,Latitude
rico:length,Length
rico:location,Location
rico:longitude,Longitude
rico:measure,Measure
rico:migrationDate,Migration date
rico:modificationDate,Modification date
rico:mostMembersWithAccumulationDate,Most members with accumulation date
rico:mostMembersWithCreationDate,Most members with creation date
rico:name,Name
rico:normalizedDateValue,Normalized date value
rico:normalizedValue,Normalized value
rico:note,Note
rico:physicalCharacteristicsNote,Physical characteristics note
rico:physicalOrLogicalExtent,Physical or logical extent
rico:productionTechnique,Production technique
rico:publicationDate,Publication date
rico:qualityOfRepresentationNote,Quality of representation note
rico:quantity,Quantity
rico:rankInHierarchy,Rank in hierarchy
rico:rankInSequence,Rank in sequence
rico:recordResourceExtent,Record Resource Extent
rico:recordResourceSourceOfInformation,Source(s) used
rico:recordResourceStructure,Record Resource structure
rico:referenceSystem,Reference system
rico:relationCertainty,Relation certainty
rico:relationSource,Relation source
rico:relationState,Relation state
rico:ruleFollowed,Rule followed
rico:scopeAndContent,Scope and content
rico:sentimentOrEmotionExpressed,Sentiment or emotion expressed
rico:someMembersWithAccumulationDate,Some members with accumulation date
rico:someMembersWithCreationDate,Some members with creation date
rico:structure,Structure
rico:technicalCharacteristics,Technical characteristics
rico:textualValue,Textual value
rico:title,Title
rico:type,Type
rico:unitOfMeasurement,Unit of measurement
rico:usedFromDate,Used from date
rico:usedToDate,Used to date
rico:width,Width
rico:accumulationRelation_role,Has the role of the Accumulation Relation
rico:activityDocumentationRelation_role,Has the role of the Activity Documentation Relation
rico:activityIsContextOfRelation,Activity is context of relation
rico:affectsOrAffected,Affects or affected
rico:agentControlRelation_role,Has the role of the Agent Control Relation
rico:agentHasOrHadLocation,Agent has or had location
rico:agentHierarchicalRelation_role,Has the role of the Agent Hierarchical Relation
rico:agentTemporalRelation_role,Has the role of the Agent Temporal Relation
rico:agentToAgentRelation_role,Has the role of the Agent Relation
rico:appellationRelation_role,Has the role of the Appellation Relation
rico:asConcernsActivity,As concerns activity
rico:authorityRelation_role,Has the role of the Authority Relation
rico:authorizedBy,Authorized by
rico:authorizes,Authorizes
rico:authorizingAgent,Authorizing agent
rico:authorshipRelation_role,Has the role of the Authorship Relation
rico:childRelation_role,Has the role of the Child Relation
rico:contained,Had subdivision
rico:containsOrContained,Has or had subdivision
rico:containsTransitive,Has subdivision (transitive)
rico:correspondenceRelation_role,Has the role of the Correspondence Relation
rico:creationRelation_role,Has the role of the Creation Relation
rico:creationWithRole,Creation with role
rico:derivationRelation_role,Has the role of the Derivation Relation
rico:descendanceRelation_role,Has the role of the Descendance Relation
rico:describesOrDescribed,Describes or described
rico:directlyContains,Has direct subdivision
rico:directlyFollowsInSequence,Directly follows in sequence
rico:directlyFollowsProxyInSequence,Directly follows proxy in sequence
rico:directlyIncludes,Directly includes
rico:directlyIncludesProxy,Directly includes proxy
rico:directlyPrecedesInSequence,Directly precedes in sequence
rico:directlyPrecedesProxyInSequence,Directly precedes proxy in sequence
rico:documentedBy,Documented by
rico:documents,Documents
rico:eventRelation_role,Has the role of the Event Relation
rico:evidences,Evidences
rico:existsOrExistedIn,Exists or existed in
rico:expressesOrExpressed,Expresses or expressed
rico:familyRelation_role,Has the role of the Family Relation
rico:followedInSequence,Followed in sequence
rico:followsInSequenceTransitive,Follows in sequence transitive
rico:followsInTime,Follows in time
rico:followsOrFollowed,Follows or followed
rico:followsProxyInSequence,Follows proxy in sequence
rico:functionalEquivalenceRelation_role,Has the role of the Functional Equivalence Relation
rico:groupSubdivisionRelation_role,Has the role of the Group Subdivision Relation
rico:hadComponent,Had component
rico:hadConstituent,Had constituent
rico:hadPart,Had part
rico:hadSubdivision,Had subdivision
rico:hadSubevent,Had subevent
rico:hadSubordinate,Had subordinate
rico:hasAccumulationDate,Has accumulation date
rico:hasAccumulator,Has accumulator
rico:hasActivityType,Has activity type
rico:hasAddressee,Has addressee
rico:hasAncestor,Has ancestor
rico:hasAuthor,Has author
rico:hasBeginningDate,Has beginning date
rico:hasBirthDate,Has birth date
rico:hasBirthPlace,Has birth place
rico:hasCarrierType,Has carrier type
rico:hasChild,Has child
rico:hasCollector,Has collector
rico:hasComponentTransitive,Has component transitive
rico:hasConstituentProxy,Has constituent proxy
rico:hasConstituentTransitive,Has constituent transitive
rico:hasContentOfType,Has content of type
rico:hasContentWhichMainlyRepresents,Has content which mainly represents
rico:hasContentWhichRepresents,Has content which represents
rico:hasCopy,Has copy
rico:hasCreationDate,Has creation date
rico:hasCreator,Has creator
rico:hasDateType,Has date type
rico:hasDeathDate,Has death date
rico:hasDeathPlace,Has death place
rico:hasDerivationDate,Has derivation date
rico:hasDescendant,Has descendant
rico:hasDestructionDate,Has destruction date
rico:hasDirectComponent,Has direct component
rico:hasDirectConstituent,Has direct constituent
rico:hasDirectConstituentProxy,Has direct constituent proxy
rico:hasDirectPart,Has direct part
rico:hasDirectSubdivision,Has direct subdivision
rico:hasDirectSubevent,Has direct subevent
rico:hasDirectSubordinate,Has direct subordinate
rico:hasDocumentaryFormType,Has documentary form type
rico:hasDraft,Has draft
rico:hasEndDate,Has end date
rico:hasEventType,Has event type
rico:hasExtent,Has extent
rico:hasExtentType,Has extent type
rico:hasFamilyAssociationWith,Has family association with
rico:hasFamilyType,Has family type
rico:hasGeneticLinkToRecordResource,Has genetic link to record resource
rico:hasIdentifierType,Has identifier type
rico:hasMigrationDate,Has migration date
rico:hasModificationDate,Has modification date
rico:hasOrHadAgentName,Has or had name
rico:hasOrHadAllMembersWithAccumulationDate,Has or had all members with accumulation date
rico:hasOrHadAllMembersWithContentType,Has or had all members with content type
rico:hasOrHadAllMembersWithCreationDate,Has or had all members with creation date
rico:hasOrHadAllMembersWithDocumentaryFormType,Has or had all members with documentary form type
rico:hasOrHadAllMembersWithLanguage,Has or had all members with language
rico:hasOrHadAllMembersWithLegalStatus,Has or had all members with legal status
rico:hasOrHadAllMembersWithMainSubject,Has or had all members with main subject
rico:hasOrHadAllMembersWithRecordState,Has or had all members with record state
rico:hasOrHadAllMembersWithSubject,Has or had all members with subject
rico:hasOrHadAllMembersWithType,Has or had all members with type
rico:hasOrHadAnalogueInstantiation,Has or had analogue instantiation
rico:hasOrHadAppellation,Has or had appellation
rico:hasOrHadAuthorityOver,Has or had authority over
rico:hasOrHadComponent,Has or had component
rico:hasOrHadConstituent,Has or had constituent
rico:hasOrHadController,Has or had controller
rico:hasOrHadCoordinates,Has or had coordinates
rico:hasOrHadCorporateBodyType,Has or had corporate body type
rico:hasOrHadCorrespondent,Has or had correspondent
rico:hasOrHadDemographicGroup,Has or had demographic group
rico:hasOrHadDerivedInstantiation,Has or had derived instantiation
rico:hasOrHadDigitalInstantiation,Has or had digital instantiation
rico:hasOrHadEmployer,Has or had employer
rico:hasOrHadHolder,Has or had holder
rico:hasOrHadIdentifier,Identifier
rico:hasOrHadInstantiation,Has or had instantiation
rico:hasOrHadIntellectualPropertyRightsHolder,Has or had intellectual property rights holder
rico:hasOrHadJurisdiction,Has or had jurisdiction
rico:hasOrHadLanguage,Language
rico:hasOrHadLeader,Has or had leader
rico:hasOrHadLegalStatus,Has or had legal status
rico:hasOrHadLocation,Has or had location
rico:hasOrHadMainSubject,Has or had main subject
rico:hasOrHadManager,Has or had manager
rico:hasOrHadMandateType,Has or had mandate type
rico:hasOrHadMember,Has or had member
rico:hasOrHadMostMembersWithAccumulationDate,Has or had most members with accumulation date
rico:hasOrHadMostMembersWithCreationDate,Has or had most members with creation date
rico:hasOrHadName,Has or had name
rico:hasOrHadOccupationOfType,Has or had occupation of type
rico:hasOrHadOwner,Has or had owner
rico:hasOrHadPart,Has or had part
rico:hasOrHadParticipant,Has or had participant
rico:hasOrHadPhysicalLocation,Has or had physical location
rico:hasOrHadPlaceName,Has or had name
rico:hasOrHadPlaceType,Place type
rico:hasOrHadPosition,Has or had position
rico:hasOrHadRuleType,Has or had rule type
rico:hasOrHadSomeMembersWhoseContentMainlyRepresents,Has or had some members whose content mainly represents
rico:hasOrHadSomeMembersWhoseContentRepresents,Has or had some members whose content represents
rico:hasOrHadSomeMembersWithAccumulationDate,Has or had some members with accumulation date
rico:hasOrHadSomeMembersWithContentType,Has or had some members with content type
rico:hasOrHadSomeMembersWithCreationDate,Has or had some members with creation date
rico:hasOrHadSomeMembersWithDocumentaryFormType,Has or had some members with documentary form type
rico:hasOrHadSomeMembersWithLanguage,Has or had some members with language
rico:hasOrHadSomeMembersWithLegalStatus,Has or had some members with legal status
rico:hasOrHadSomeMembersWithMainSubject,Has or had some members with main subject
rico:hasOrHadSomeMembersWithRecordState,Has or had some members with record state
rico:hasOrHadSomeMembersWithSubject,Has or had some members with subject
rico:hasOrHadSomeMembersWithType,Has or had some members with type
rico:hasOrHadSpouse,Has or had spouse
rico:hasOrHadStudent,Has or had student
rico:hasOrHadSubdivision,Has or had subdivision
rico:hasOrHadSubevent,Has or had subevent
rico:hasOrHadSubject,Has or had subject
rico:hasOrHadSubordinate,Has or had subordinate
rico:hasOrHadTeacher,Has or had teacher
rico:hasOrHadTitle,Has or had title
rico:hasOrHadType,Has or had type
rico:hasOrHadWorkRelationWith,Has or had work relation with
rico:hasOrganicOrFunctionalProvenance,Has organic or functional provenance
rico:hasOrganicProvenance,Has organic provenance
rico:hasOrganicProvenanceDate,Has organic provenance date
rico:hasOriginal,Has original
rico:hasPartTransitive,Has part transitive
rico:hasProductionTechniqueType,Has production technique type
rico:hasProxy,Has proxy
rico:hasPublicationDate,Has publication date
rico:hasPublisher,Has publisher
rico:hasReceiver,Has receiver
rico:hasRecordSetType,Has record set type
rico:hasRecordState,Has record state
rico:hasReply,Has reply
rico:hasRepresentationType,Has representation type
rico:hasSender,Has sender
rico:hasSibling,Has sibling
rico:hasSubdivisionTransitive,Has subdivision transitive
rico:hasSubeventTransitive,Has subevent transitive
rico:hasSubordinateTransitive,Has subordinate transitive
rico:hasSuccessor,Has successor
rico:hasTitleType,Has title type
rico:hasUnitOfMeasurement,Has unit of measurement
rico:hasWithin,Has within
rico:included,Included
rico:includesOrIncluded,Includes or included
rico:includesProxy,Includes proxy
rico:includesTransitive,Includes transitive
rico:instantiationToInstantiationRelation_role,Has the role of the Instantiation to Instantiation Relation
rico:intellectualPropertyRightsRelation_role,Has the role of the Intellectual Property Rights Relation
rico:intersects,Intersects
rico:isAccumulationDateOf,Is accumulation date of
rico:isAccumulatorOf,Is accumulator of
rico:isActivityTypeOf,Is activity type of
rico:isAddresseeOf,Is addressee of
rico:isAgentAssociatedWithAgent,Is associated with agent
rico:isAgentAssociatedWithPlace,Is associated with place
rico:isAssociatedWithDate,Is associated with date
rico:isAssociatedWithEvent,Is associated with event
rico:isAssociatedWithPlace,Is associated with place
rico:isAssociatedWithRule,Is associated with rule
rico:isAuthorOf,Is author of
rico:isAuthorizingAgentInMandateRelation,Is authorizing agent in mandate relation
rico:isBeginningDateOf,Is beginning date of
rico:isBirthDateOf,Is birth date of
rico:isBirthPlaceOf,Is birth place of
rico:isCarrierTypeOf,Is carrier type of
rico:isChildOf,Is child of
rico:isCollectorOf,Is collector of
rico:isComponentOfTransitive,Is component of transitive
rico:isConstituentOfProxy,Is constituent of proxy
rico:isConstituentOfTransitive,Is constituent of transitive
rico:isContainedByTransitive,Is contained by transitive
rico:isContentTypeOf,Is content type of
rico:isCopyOf,Is copy of
rico:isCreationDateOf,Is creation date of
rico:isCreatorOf,Is creator of
rico:isDateAssociatedWith,Is date associated with
rico:isDateAssociatedWithRelation,Is date associated with Relation
rico:isDateOfOccurrenceOf,Is date of occurrence of
rico:isDateTypeOf,Is date type of
rico:isDeathDateOf,Is death date of
rico:isDeathPlaceOf,Is death place of
rico:isDerivationDateOf,Is derivation date of
rico:isDestructionDateOf,Is destruction date of
rico:isDirectComponentOf,Is direct component of
rico:isDirectConstituentOf,Is direct constituent of
rico:isDirectConstituentOfProxy,Is direct constituent of proxy
rico:isDirectPartOf,Is direct part of
rico:isDirectSubdivisionOf,Is direct subdivision of
rico:isDirectSubeventOf,Is direct subevent of
rico:isDirectSubordinateTo,Is direct subordinate to
rico:isDirectlyContainedBy,Is directly contained by
rico:isDirectlyIncludedIn,Is directly included in
rico:isDirectlyIncludedInProxy,Is directly included in proxy
rico:isDocumentaryFormTypeOf,Is documentary form type of
rico:isDraftOf,Is draft of
rico:isEndDateOf,Is end date of
rico:isEquivalentTo,Is equivalent to
rico:isEventAssociatedWith,Is event associated with
rico:isEventTypeOf,Is event type of
rico:isEvidencedBy,Is evidenced by
rico:isExtentOf,Is extent of
rico:isExtentTypeOf,Is extent type of
rico:isFamilyTypeOf,Is family type of
rico:isFromUseDateOf,Is from use date of
rico:isFunctionallyEquivalentTo,Is functionally equivalent to
rico:isIdentifierTypeOf,Is identifier type of
rico:isIncludedInProxy,Is included in proxy
rico:isIncludedInTransitive,Is included in transitive
rico:isInstantiationAssociatedWithInstantiation,Is instantiation associated with instantiation
rico:isLastUpdateDateOf,Is last update date of
rico:isMainThingRepresentedByContentOf,Is main thing represented by content of
rico:isMigrationDateOf,Is migration date of
rico:isModificationDateOf,Is modification date of
rico:isOrWasAccumulationDateOfAllMembersOf,Is or was accumulation date of all members of
rico:isOrWasAccumulationDateOfMostMembersOf,Is or was accumulation date of most members of
rico:isOrWasAccumulationDateOfSomeMembersOf,Is or was accumulation date of some members of
rico:isOrWasActiveAtDate,Is or was active at date
rico:isOrWasActivityDateOf,Is or was date of activity of
