ricoId,label
accumulationRelation_role,a le rôle de la Relation d’accumulation
organicProvenanceRelation_role,a le rôle de la Relation de provenance organique
activityDocumentationRelation_role,a le rôle de la Relation entre activités et ressources            archivistiques
eventRelation_role,a le rôle de la Relation impliquant un événement
organicOrFunctionalProvenanceRelation_role,a le rôle de la Relation de provenance organique ou            fonctionnelle
activityIsContextOfRelation,activité est le contexte de la relation
thingIsContextOfRelation,chose est le contexte de la relation
asConcernsActivity,en ce qui concerne l’activité
affectsOrAffected,affecte ou a affecté
hasOrHadParticipant,a ou a eu pour participant
isOrWasAffectedBy,est ou a été affecté par
agentControlRelation_role,a le rôle de la Relation de contrôle entre agents
agentHierarchicalRelation_role,a le rôle de la Relation hiérarchique entre agents
authorityRelation_role,a le rôle de la Relation d’autorité
agentHasOrHadLocation,agent a ou a eu pour localisation
hasOrHadLocation,a ou a eu pour localisation
isAgentAssociatedWithPlace,est un agent associé au lieu
isOrWasLocationOfAgent,est ou a été la localisation de l'agent
agentToAgentRelation_role,a le rôle de la Relation entre agents
agentTemporalRelation_role,a le rôle de la Relation temporelle entre agents
temporalRelation_role,a le rôle de la Relation temporelle
relation_role,a le rôle de la Relation
appellationRelation_role,a le rôle de la Relation d’appellation
relationHasContext,relation a pour contexte
authorizedBy,autorisé par
isAssociatedWithRule,est associé à la règle
authorizes,autorise
thingIsTargetOfRelation,chose est la cible de la relation
mandateRelation_role,a le rôle de la Relation impliquant un mandat
relationHasSource,relation a pour source
isRuleAssociatedWith,est une règle associée à
thingIsSourceOfRelation,chose est la source de la relation
relationHasTarget,relation a pour cible
authorizingAgent,autorisation donnée par l’agent
isAuthorizingAgentInMandateRelation,est l’agent donnant l’autorisation dans la relation impliquant un            mandat
authorshipRelation_role,a le rôle de la Relation de responsabilité            intellectuelle
creationRelation_role,a le rôle de la Relation de création
childRelation_role,a le rôle de la Relation de filiation
descendanceRelation_role,a le rôle de la Relation de descendance
contained,a contenu
containsOrContained,contient ou a contenu
hadPart,a eu pour partie
wasContainedBy,a été contenu par
hasOrHadPart,a ou a eu pour partie
isAssociatedWithPlace,est associé au lieu
isPlaceAssociatedWith,est un lieu associé à
isOrWasContainedBy,est ou a été contenu par
containsTransitive,contient transitif
hasPartTransitive,a pour partie transitif
isContainedByTransitive,est contenu par transitif
correspondenceRelation_role,a le rôle de la Relation épistolaire
knowingRelation_role,a le rôle de la Relation de connaissance entre            personnes
creationWithRole,création avec pour rôle
roleIsContextOfCreationRelation,rôle est le contexte de la relation de création
derivationRelation_role,a le rôle de la Relation de dérivation
instantiationToInstantiationRelation_role,a le rôle de la Relation entre instanciations
familyRelation_role,a le rôle de la Relation familiale
describesOrDescribed,décrit ou a décrit
hasOrHadSubject,a ou a eu pour sujet
isOrWasDescribedBy,est ou a été décrit par
directlyContains,contient directement
hasDirectPart,a directement pour partie
isDirectlyContainedBy,est directement contenu par
directlyFollowsInSequence,suit directement dans la séquence
followsInSequenceTransitive,suit dans la séquence transitif
directlyPrecedesInSequence,précède directement dans la séquence
directlyIncludes,inclut directement
